episode,frames,return,Lc,La,Lbc,explore_noise,success
311,11031,-20.971606525518602,0.0,0.0,0.0,0.1,0
312,11057,-12.74565173201178,0.0,0.0,0.0,0.1,0
313,11089,-13.310723407985035,0.0,0.0,0.0,0.1,0
314,11148,-72.88739152990928,0.0,0.0,0.0,0.1,0
315,11191,-36.21118924968985,0.0,0.0,0.0,0.1,0
316,11232,-49.002523475597,0.0,0.0,0.0,0.1,0
317,11264,-21.282771740905993,0.0,0.0,0.0,0.1,0
318,11289,-37.92985200100377,0.0,0.0,0.0,0.1,0
319,11297,-14.143886880003153,0.0,0.0,0.0,0.1,0
320,11339,-30.74151302811436,0.0,0.0,0.0,0.1,0
321,11373,-35.841914706964516,0.0,0.0,0.0,0.1,0
322,11412,-58.537068200580805,0.0,0.0,0.0,0.1,0
323,11458,-31.747288065206956,0.0,0.0,0.0,0.1,0
324,11471,-13.91860507156211,0.0,0.0,0.0,0.1,0
325,11522,-42.19075578759615,0.0,0.0,0.0,0.1,0
326,11534,-12.64713154147826,0.0,0.0,0.0,0.1,0
327,11564,-17.12586266917797,0.0,0.0,0.0,0.1,0
328,11617,-71.57942752914296,0.0,0.0,0.0,0.1,0
329,11633,-10.788057919429026,0.0,0.0,0.0,0.1,0
330,11656,-15.53484142163794,0.0,0.0,0.0,0.1,0
331,11806,-82.11235295149793,0.0,0.0,0.0,0.1,0
332,11817,-15.663154249513692,0.0,0.0,0.0,0.1,0
333,11851,-16.309288539398345,0.0,0.0,0.0,0.1,0
334,11853,-10.226089315096834,0.0,0.0,0.0,0.1,0
335,11880,-37.85349193875172,0.0,0.0,0.0,0.1,0
336,11894,-11.55091780405754,0.0,0.0,0.0,0.1,0
337,12044,-67.11930223885534,0.0,0.0,0.0,0.1,0
338,12089,-51.820558524643445,0.0,0.0,0.0,0.1,0
339,12147,-36.06809738782103,0.0,0.0,0.0,0.1,0
340,12206,-64.74850767611896,0.0,0.0,0.0,0.1,0
341,12222,-15.550663433920358,0.0,0.0,0.0,0.1,0
342,12265,-45.262591448111124,0.0,0.0,0.0,0.1,0
343,12294,-38.08157303249748,0.0,0.0,0.0,0.1,0
344,12332,-45.64645723638802,0.0,0.0,0.0,0.1,0
345,12420,-56.1805838845923,0.0,0.0,0.0,0.1,0
346,12459,-41.8329855786797,0.0,0.0,0.0,0.1,0
347,12517,-16.270039384192422,0.0,0.0,0.0,0.1,0
348,12534,-15.307947175293544,0.0,0.0,0.0,0.1,0
349,12549,-12.091420071973069,0.0,0.0,0.0,0.1,0
350,12594,-67.98456708012453,0.0,0.0,0.0,0.1,0
351,12633,-24.416738003128014,0.0,0.0,0.0,0.1,0
352,12656,-21.615522867288,0.0,0.0,0.0,0.1,0
353,12694,-47.26233529351285,0.0,0.0,0.0,0.1,0
354,12746,-54.019330004359226,0.0,0.0,0.0,0.1,0
355,12797,-44.96079777225538,0.0,0.0,0.0,0.1,0
356,12810,-12.095640224017815,0.0,0.0,0.0,0.1,0
357,12823,-12.747152240492518,0.0,0.0,0.0,0.1,0
358,12835,-11.461265323986407,0.0,0.0,0.0,0.1,0
359,12871,-14.519701052672383,0.0,0.0,0.0,0.1,0
360,12893,-15.428705401363606,0.0,0.0,0.0,0.1,0
361,12917,-27.54084615136263,0.0,0.0,0.0,0.1,0
362,12943,-31.909059275231836,0.0,0.0,0.0,0.1,0
363,12952,-15.519875424566514,0.0,0.0,0.0,0.1,0
364,12988,-60.73061916340857,0.0,0.0,0.0,0.1,0
365,13035,-55.9690759530945,0.0,0.0,0.0,0.1,0
366,13078,-32.97957023240702,0.0,0.0,0.0,0.1,0
367,13094,-13.452392371614184,0.0,0.0,0.0,0.1,0
368,13138,-59.18367012297132,0.0,0.0,0.0,0.1,0
369,13157,-19.38589096284272,0.0,0.0,0.0,0.1,0
370,13173,-13.949097229657639,0.0,0.0,0.0,0.1,0
371,13191,-15.634035623949803,0.0,0.0,0.0,0.1,0
372,13224,-58.6420738699411,0.0,0.0,0.0,0.1,0
373,13264,-43.36411180668693,0.0,0.0,0.0,0.1,0
374,13297,-41.91195975637011,0.0,0.0,0.0,0.1,0
375,13315,-12.542797870247611,0.0,0.0,0.0,0.1,0
376,13328,-15.198195574795044,0.0,0.0,0.0,0.1,0
377,13391,-61.09214309049833,0.0,0.0,0.0,0.1,0
378,13475,-48.30626703727168,0.0,0.0,0.0,0.1,0
379,13513,-60.81917320294983,0.0,0.0,0.0,0.1,0
380,13547,-38.62269822458412,0.0,0.0,0.0,0.1,0
381,13619,-61.64643597318949,0.0,0.0,0.0,0.1,0
382,13715,-79.00253763270297,0.0,0.0,0.0,0.1,0
383,13730,-12.717148582074131,0.0,0.0,0.0,0.1,0
384,13752,-10.792792519357418,0.0,0.0,0.0,0.1,0
385,13799,-46.52022460264014,0.0,0.0,0.0,0.1,0
386,13852,-44.976661290505945,0.0,0.0,0.0,0.1,0
387,13905,-46.75172984441902,0.0,0.0,0.0,0.1,0
388,13951,-9.845556198480592,0.0,0.0,0.0,0.1,1
389,13961,-11.333013932067374,0.0,0.0,0.0,0.1,0
390,13999,-16.231477699840994,0.0,0.0,0.0,0.1,0
391,14045,-45.06744125428159,0.0,0.0,0.0,0.1,0
392,14071,-10.697544536484767,0.0,0.0,0.0,0.1,0
393,14094,-17.20568841051938,0.0,0.0,0.0,0.1,0
394,14155,-85.11030084875597,0.0,0.0,0.0,0.1,0
395,14187,-17.360632080005953,0.0,0.0,0.0,0.1,0
396,14201,-15.439793426012521,0.0,0.0,0.0,0.1,0
397,14248,-11.797317840544155,0.0,0.0,0.0,0.1,0
398,14286,-51.34369240737125,0.0,0.0,0.0,0.1,0
399,14353,-42.07546664553495,0.0,0.0,0.0,0.1,0
400,14363,-11.7296354020758,0.0,0.0,0.0,0.1,0
401,14375,-16.863726715124947,0.0,0.0,0.0,0.1,0
402,14434,-41.15484555336843,0.0,0.0,0.0,0.1,0
403,14469,-37.4494653118656,0.0,0.0,0.0,0.1,0
404,14511,-61.367711858613774,0.0,0.0,0.0,0.1,0
405,14533,-10.979514433700556,0.0,0.0,0.0,0.1,0
406,14586,-50.82698465299864,0.0,0.0,0.0,0.1,0
407,14606,-14.44169258272091,0.0,0.0,0.0,0.1,0
408,14629,-27.00171331778035,0.0,0.0,0.0,0.1,0
409,14659,-37.52180540168972,0.0,0.0,0.0,0.1,0
410,14684,-11.642692436670771,0.0,0.0,0.0,0.1,0
411,14701,-18.712066490687665,0.0,0.0,0.0,0.1,0
412,14851,-98.6923840589938,0.0,0.0,0.0,0.1,0
413,14904,-66.98617887094085,0.0,0.0,0.0,0.1,0
414,14931,-14.303554752706463,0.0,0.0,0.0,0.1,0
415,14960,-16.189399913105007,0.0,0.0,0.0,0.1,0
416,14985,-11.767617617243651,0.0,0.0,0.0,0.1,0
417,15003,-18.37490750248026,10.270698547363281,0.28825491666793823,0.0,0.09959994666666667,0
418,15022,-15.664664751684194,1.8384448289871216,0.7364752888679504,0.0,0.09959944000000001,0
419,15034,-11.491398799692888,5.258794784545898,0.8180347681045532,0.0,0.09959912,0
420,15184,-78.58497347048447,61.130897521972656,2.3721132278442383,0.0,0.09959512000000001,0
421,15196,-17.716355504971304,2.1161704063415527,1.3900113105773926,0.0,0.09959480000000001,0
422,15346,-85.2505193436174,2.401670455932617,1.7669681310653687,0.0,0.09959080000000001,0
423,15357,-12.447017147355279,6.088442802429199,2.0348446369171143,0.0,0.09959050666666668,0
424,15368,-13.491065142034083,1.9176703691482544,2.204545497894287,0.0,0.09959021333333334,0
425,15378,-10.18972460649665,19.147563934326172,2.034522533416748,0.0,0.09958994666666668,0
426,15389,-16.95656232476734,126.31739807128906,1.9911692142486572,0.0,0.09958965333333333,0
427,15399,-16.1334740585864,2.784580707550049,3.0885000228881836,0.0,0.09958938666666667,0
428,15411,-19.186061758729473,6.491309642791748,1.636267900466919,0.0,0.09958906666666667,0
